Ticker SYMBOL,公司代號,公司名稱,產業別,資料季度,錯誤原因
1762.TW,1762,中化合成生技股份有限公司,22,2026Q1,缺少營業收入/收益
1773.TW,1773,勝一化工股份有限公司,21,2026Q1,缺少營業收入/收益
1776.TW,1776,展宇科技材料股份有限公司,21,2026Q1,缺少營業收入/收益
1783.TW,1783,和康生物科技股份有限公司,22,2026Q1,缺少營業收入/收益
1786.TW,1786,科妍生物科技股份有限公司,22,2026Q1,缺少營業收入/收益
1789.TW,1789,台灣神隆股份有限公司,22,2026Q1,缺少營業收入/收益
1795.TW,1795,美時化學製藥股份有限公司,22,2026Q1,缺少營業收入/收益
1802.TW,1802,台灣玻璃工業股份有限公司,08,2026Q1,缺少營業收入/收益
1805.TW,1805,寶徠建設股份有限公司,14,2026Q1,缺少營業收入/收益
1806.TW,1806,冠軍建材股份有限公司,08,2026Q1,缺少營業收入/收益
1808.TW,1808,潤隆建設股份有限公司,14,2026Q1,缺少營業收入/收益
1809.TW,1809,中國製釉股份有限公司,08,2026Q1,缺少營業收入/收益
1810.TW,1810,和成欣業股份有限公司,08,2026Q1,缺少營業收入/收益
1817.TW,1817,凱撒衛浴股份有限公司,08,2026Q1,缺少營業收入/收益
1903.TW,1903,士林紙業股份有限公司,09,2026Q1,缺少營業收入/收益
1904.TW,1904,正隆股份有限公司,09,2026Q1,缺少營業收入/收益
1905.TW,1905,中華紙漿股份有限公司,09,2026Q1,缺少營業收入/收益
1906.TW,1906,寶隆國際股份有限公司,09,2026Q1,缺少營業收入/收益
1907.TW,1907,永豐餘投資控股股份有限公司,09,2026Q1,缺少營業收入/收益
1909.TW,1909,榮成紙業股份有限公司,09,2026Q1,缺少營業收入/收益
2002.TW,2002,中國鋼鐵股份有限公司,10,2026Q1,缺少營業收入/收益
2006.TW,2006,東和鋼鐵企業股份有限公司,10,2026Q1,缺少營業收入/收益
2007.TW,2007,燁興企業股份有限公司,10,2026Q1,缺少營業收入/收益
2008.TW,2008,高興昌鋼鐵股份有限公司,10,2026Q1,缺少營業收入/收益
2009.TW,2009,第一伸銅科技股份有限公司,10,2026Q1,缺少營業收入/收益
2010.TW,2010,春源鋼鐵工業股份有限公司,10,2026Q1,缺少營業收入/收益
2012.TW,2012,春雨工廠股份有限公司,10,2026Q1,缺少營業收入/收益
2013.TW,2013,中國鋼鐵結構股份有限公司,10,2026Q1,缺少營業收入/收益
2014.TW,2014,中鴻鋼鐵股份有限公司,10,2026Q1,缺少營業收入/收益
2015.TW,2015,豐興鋼鐵股份有限公司,10,2026Q1,缺少營業收入/收益
2017.TW,2017,官田鋼鐵股份有限公司,10,2026Q1,缺少營業收入/收益
2020.TW,2020,美亞鋼管廠股份有限公司,10,2026Q1,缺少營業收入/收益
2022.TW,2022,聚亨企業股份有限公司,10,2026Q1,缺少營業收入/收益
2023.TW,2023,燁輝企業股份有限公司,10,2026Q1,缺少營業收入/收益
2024.TW,2024,志聯工業股份有限公司,10,2026Q1,缺少營業收入/收益
2025.TW,2025,千興不銹鋼(股)公司,10,2026Q1,缺少營業收入/收益
2027.TW,2027,大成不銹鋼工業股份有限公司,10,2026Q1,缺少營業收入/收益
2028.TW,2028,威致鋼鐵工業股份有限公司,10,2026Q1,缺少營業收入/收益
2029.TW,2029,盛餘股份有限公司,10,2026Q1,缺少營業收入/收益
2030.TW,2030,彰源企業股份有限公司,10,2026Q1,缺少營業收入/收益
2031.TW,2031,新光鋼鐵股份有限公司,10,2026Q1,缺少營業收入/收益
2032.TW,2032,新鋼工業股份有限公司,10,2026Q1,缺少營業收入/收益
2033.TW,2033,佳大世界股份有限公司,10,2026Q1,缺少營業收入/收益
2034.TW,2034,允強實業股份有限公司,10,2026Q1,缺少營業收入/收益
2038.TW,2038,海光企業股份有限公司,10,2026Q1,缺少營業收入/收益
2049.TW,2049,上銀科技股份有限公司,05,2026Q1,缺少營業收入/收益
2059.TW,2059,川湖科技股份有限公司,28,2026Q1,缺少營業收入/收益
2062.TW,2062,橋椿金屬股份有限公司,38,2026Q1,缺少營業收入/收益
2069.TW,2069,運錩鋼鐵股份有限公司,10,2026Q1,缺少營業收入/收益
2072.TW,2072,世紀離岸風電設備股份有限公司,35,2026Q1,缺少營業收入/收益
2101.TW,2101,南港輪胎股份有限公司,11,2026Q1,缺少營業收入/收益
2102.TW,2102,泰豐輪胎股份有限公司,11,2026Q1,缺少營業收入/收益
2103.TW,2103,台橡股份有限公司,11,2026Q1,缺少營業收入/收益
2104.TW,2104,國際中橡投資控股股份有限公司,11,2026Q1,缺少營業收入/收益
2105.TW,2105,正新橡膠工業股份有限公司,11,2026Q1,缺少營業收入/收益
2106.TW,2106,建大工業股份有限公司,11,2026Q1,缺少營業收入/收益
2107.TW,2107,厚生股份有限公司,11,2026Q1,缺少營業收入/收益
2108.TW,2108,南帝化學工業股份有限公司,11,2026Q1,缺少營業收入/收益
2109.TW,2109,華豐橡膠工業股份有限公司,11,2026Q1,缺少營業收入/收益
2114.TW,2114,鑫永銓股份有限公司,11,2026Q1,缺少營業收入/收益
2115.TW,2115,六暉控股股份有限公司,12,2026Q1,缺少營業收入/收益
2201.TW,2201,裕隆汽車製造股份有限公司,12,2026Q1,缺少營業收入/收益
2204.TW,2204,中華汽車工業股份有限公司,12,2026Q1,缺少營業收入/收益
2206.TW,2206,三陽工業股份有限公司,12,2026Q1,缺少營業收入/收益
2207.TW,2207,和泰汽車股份有限公司,12,2026Q1,缺少營業收入/收益
2208.TW,2208,台灣國際造船股份有限公司,15,2026Q1,缺少營業收入/收益
2211.TW,2211,長榮鋼鐵股份有限公司,10,2026Q1,缺少營業收入/收益
2227.TW,2227,裕隆日產汽車股份有限公司,12,2026Q1,缺少營業收入/收益
2228.TW,2228,劍麟股份有限公司,12,2026Q1,缺少營業收入/收益
2231.TW,2231,為升電裝工業股份有限公司,12,2026Q1,缺少營業收入/收益
2233.TW,2233,宇隆科技股份有限公司,12,2026Q1,缺少營業收入/收益
2236.TW,2236,百達精密工業股份有限公司,12,2026Q1,缺少營業收入/收益
2239.TW,2239,開曼英利工業股份有限公司,12,2026Q1,缺少營業收入/收益
2241.TW,2241,艾姆勒科技股份有限公司,12,2026Q1,缺少營業收入/收益
2243.TW,2243,宏旭控股股份有限公司,12,2026Q1,缺少營業收入/收益
2247.TW,2247,汎德永業汽車股份有限公司,12,2026Q1,缺少營業收入/收益
2248.TW,2248,華勝汽車電子股份有限公司,12,2026Q1,缺少營業收入/收益
2250.TW,2250,第一化成控股(開曼)股份有限公司,12,2026Q1,缺少營業收入/收益
2254.TW,2254,巨鎧精密工業股份有限公司,12,2026Q1,缺少營業收入/收益
2258.TW,2258,鴻華先進科技股份有限公司,12,2026Q1,缺少營業收入/收益
2301.TW,2301,光寶科技股份有限公司,25,2026Q1,缺少營業收入/收益
2302.TW,2302,麗正國際科技股份有限公司,24,2026Q1,缺少營業收入/收益
2303.TW,2303,聯華電子股份有限公司,24,2026Q1,缺少營業收入/收益
2305.TW,2305,全友電腦股份有限公司,25,2026Q1,缺少營業收入/收益
2308.TW,2308,台達電子工業股份有限公司,28,2026Q1,缺少營業收入/收益
2312.TW,2312,金寶電子工業股份有限公司,31,2026Q1,缺少營業收入/收益
2313.TW,2313,華通電腦股份有限公司,28,2026Q1,缺少營業收入/收益
2314.TW,2314,台揚科技股份有限公司,27,2026Q1,缺少營業收入/收益
2316.TW,2316,楠梓電子股份有限公司,28,2026Q1,缺少營業收入/收益
2317.TW,2317,鴻海精密工業股份有限公司,31,2026Q1,缺少營業收入/收益
2321.TW,2321,東訊股份有限公司,27,2026Q1,缺少營業收入/收益
2323.TW,2323,中環股份有限公司,26,2026Q1,缺少營業收入/收益
2324.TW,2324,仁寶電腦工業股份有限公司,25,2026Q1,缺少營業收入/收益
2327.TW,2327,國巨股份有限公司,28,2026Q1,缺少營業收入/收益
2328.TW,2328,廣宇科技股份有限公司,28,2026Q1,缺少營業收入/收益
2329.TW,2329,華泰電子股份有限公司,24,2026Q1,缺少營業收入/收益
2330.TW,2330,台灣積體電路製造股份有限公司,24,2026Q1,缺少營業收入/收益
2331.TW,2331,精英電腦股份有限公司,25,2026Q1,缺少營業收入/收益
2332.TW,2332,友訊科技股份有限公司,27,2026Q1,缺少營業收入/收益
2337.TW,2337,旺宏電子股份有限公司,24,2026Q1,缺少營業收入/收益
2338.TW,2338,台灣光罩股份有限公司,24,2026Q1,缺少營業收入/收益
2340.TW,2340,台亞半導體股份有限公司,24,2026Q1,缺少營業收入/收益
2342.TW,2342,台灣茂矽電子股份有限公司,24,2026Q1,缺少營業收入/收益
2344.TW,2344,華邦電子股份有限公司,24,2026Q1,缺少營業收入/收益
2345.TW,2345,智邦科技股份有限公司,27,2026Q1,缺少營業收入/收益
2347.TW,2347,聯強國際股份有限公司,29,2026Q1,缺少營業收入/收益
2348.TW,2348,海悅國際開發股份有限公司,20,2026Q1,缺少營業收入/收益
2349.TW,2349,錸德科技股份有限公司,26,2026Q1,缺少營業收入/收益
2351.TW,2351,順德工業股份有限公司,24,2026Q1,缺少營業收入/收益
2352.TW,2352,佳世達科技股份有限公司,25,2026Q1,缺少營業收入/收益
2353.TW,2353,宏碁股份有限公司,25,2026Q1,缺少營業收入/收益
2354.TW,2354,鴻準精密工業股份有限公司,31,2026Q1,缺少營業收入/收益
2355.TW,2355,敬鵬工業股份有限公司,28,2026Q1,缺少營業收入/收益
2356.TW,2356,英業達股份有限公司,25,2026Q1,缺少營業收入/收益
2357.TW,2357,華碩電腦股份有限公司,25,2026Q1,缺少營業收入/收益
2359.TW,2359,所羅門股份有限公司,31,2026Q1,缺少營業收入/收益
2360.TW,2360,致茂電子股份有限公司,31,2026Q1,缺少營業收入/收益
2362.TW,2362,藍天電腦股份有限公司,25,2026Q1,缺少營業收入/收益
2363.TW,2363,矽統科技股份有限公司,24,2026Q1,缺少營業收入/收益
2364.TW,2364,倫飛電腦實業股份有限公司,25,2026Q1,缺少營業收入/收益
2365.TW,2365,昆盈企業股份有限公司,25,2026Q1,缺少營業收入/收益
2367.TW,2367,燿華電子股份有限公司,28,2026Q1,缺少營業收入/收益
2368.TW,2368,金像電子(股)公司,28,2026Q1,缺少營業收入/收益
2369.TW,2369,菱生精密工業股份有限公司,24,2026Q1,缺少營業收入/收益
2371.TW,2371,大同股份有限公司,05,2026Q1,缺少營業收入/收益
2373.TW,2373,震旦行股份有限公司,31,2026Q1,缺少營業收入/收益
2374.TW,2374,佳能企業股份有限公司,26,2026Q1,缺少營業收入/收益
2375.TW,2375,凱美電機股份有限公司,28,2026Q1,缺少營業收入/收益
2376.TW,2376,技嘉科技股份有限公司,25,2026Q1,缺少營業收入/收益
2377.TW,2377,微星科技股份有限公司,25,2026Q1,缺少營業收入/收益
2379.TW,2379,瑞昱半導體股份有限公司,24,2026Q1,缺少營業收入/收益
2380.TW,2380,虹光精密工業股份有限公司,25,2026Q1,缺少營業收入/收益
2382.TW,2382,廣達電腦股份有限公司,25,2026Q1,缺少營業收入/收益
2383.TW,2383,台光電子材料股份有限公司,28,2026Q1,缺少營業收入/收益
2385.TW,2385,群光電子股份有限公司,28,2026Q1,缺少營業收入/收益
2387.TW,2387,精元電腦股份有限公司,25,2026Q1,缺少營業收入/收益
2388.TW,2388,威盛電子股份有限公司,24,2026Q1,缺少營業收入/收益
2390.TW,2390,云辰電子開發股份有限公司,31,2026Q1,缺少營業收入/收益
2392.TW,2392,正崴精密工業股份有限公司,28,2026Q1,缺少營業收入/收益
2393.TW,2393,億光電子工業股份有限公司,26,2026Q1,缺少營業收入/收益
2395.TW,2395,研華股份有限公司,25,2026Q1,缺少營業收入/收益
2397.TW,2397,友通資訊股份有限公司,25,2026Q1,缺少營業收入/收益
2399.TW,2399,映泰股份有限公司,25,2026Q1,缺少營業收入/收益
2401.TW,2401,凌陽科技股份有限公司,24,2026Q1,缺少營業收入/收益
2402.TW,2402,毅嘉科技股份有限公司,28,2026Q1,缺少營業收入/收益
2404.TW,2404,漢唐集成股份有限公司,31,2026Q1,缺少營業收入/收益
2405.TW,2405,輔信科技股份有限公司,25,2026Q1,缺少營業收入/收益
2406.TW,2406,國碩科技工業股份有限公司,26,2026Q1,缺少營業收入/收益
2408.TW,2408,南亞科技股份有限公司,24,2026Q1,缺少營業收入/收益
2409.TW,2409,友達光電股份有限公司,26,2026Q1,缺少營業收入/收益
2412.TW,2412,中華電信股份有限公司,27,2026Q1,缺少營業收入/收益
2413.TW,2413,環隆科技股份有限公司,28,2026Q1,缺少營業收入/收益
2414.TW,2414,精技電腦股份有限公司,29,2026Q1,缺少營業收入/收益
2415.TW,2415,錩新科技股份有限公司,28,2026Q1,缺少營業收入/收益
2417.TW,2417,圓剛科技股份有限公司,25,2026Q1,缺少營業收入/收益
