Ticker,HasRevenue,HasChip,HasFundamentals
2444.TW,True,True,True
2449.TW,True,True,True
2450.TW,True,True,True
2451.TW,True,True,True
2453.TW,True,True,True
2454.TW,True,True,True
2455.TW,True,True,True
2457.TW,True,True,True
2458.TW,True,True,True
2459.TW,True,True,True
2460.TW,True,True,True
2461.TW,True,True,True
2462.TW,True,True,True
2464.TW,True,True,True
2465.TW,True,True,True
2466.TW,True,True,True
2467.TW,True,True,True
2468.TW,True,True,True
2471.TW,True,True,True
2472.TW,True,True,True
2474.TW,True,True,True
2476.TW,True,True,True
2477.TW,True,True,True
2478.TW,True,True,True
2480.TW,True,True,True
2481.TW,True,True,True
2482.TW,True,True,True
2483.TW,True,True,True
2484.TW,True,True,True
2485.TW,True,True,True
2486.TW,True,True,True
2488.TW,True,True,True
2489.TW,True,True,True
2491.TW,True,True,True
2492.TW,True,True,True
2493.TW,True,True,True
2495.TW,True,True,True
2496.TW,True,True,True
2497.TW,True,True,True
2498.TW,True,True,True
2501.TW,True,True,True
2504.TW,True,True,True
2505.TW,True,True,True
2506.TW,True,True,True
2509.TW,True,True,True
2511.TW,True,True,True
2514.TW,True,True,True
2515.TW,True,True,True
2516.TW,True,True,True
2520.TW,True,True,True
2524.TW,True,True,True
2527.TW,True,True,True
2528.TW,True,True,True
2530.TW,True,True,True
2534.TW,True,True,True
2535.TW,True,True,True
2536.TW,True,True,True
2537.TW,True,True,True
2538.TW,True,True,True
2539.TW,True,True,True
2540.TW,True,True,True
2542.TW,True,True,True
2543.TW,True,True,True
2545.TW,True,True,True
2546.TW,True,True,True
2547.TW,True,True,True
2548.TW,True,True,True
2597.TW,True,True,True
2601.TW,True,True,True
2603.TW,True,True,True
2605.TW,True,True,True
2606.TW,True,True,True
2607.TW,True,True,True
2608.TW,True,True,True
2609.TW,True,True,True
2610.TW,True,True,True
2611.TW,True,True,True
2612.TW,True,True,True
2613.TW,True,True,True
2614.TW,True,True,True
2615.TW,True,True,True
2616.TW,True,True,True
2617.TW,True,True,True
2618.TW,True,True,True
2630.TW,True,True,True
2633.TW,True,True,True
2634.TW,True,True,True
2636.TW,True,True,True
2637.TW,True,True,True
2642.TW,True,True,True
2645.TW,True,True,True
2646.TW,True,True,True
2701.TW,True,True,True
2702.TW,True,True,True
2704.TW,True,True,True
2705.TW,True,True,True
2706.TW,True,True,True
2707.TW,True,True,True
2712.TW,True,True,True
2722.TW,True,True,True
2723.TW,True,True,True
2727.TW,True,True,True
2731.TW,True,True,True
2739.TW,True,True,True
2748.TW,True,True,True
2753.TW,True,True,True
2762.TW,True,True,True
2801.TW,True,True,True
2812.TW,True,True,True
2816.TW,True,True,True
2820.TW,True,True,True
2832.TW,True,True,True
2834.TW,True,True,True
2836.TW,True,True,True
2838.TW,True,True,True
2845.TW,True,True,True
2849.TW,True,True,True
2850.TW,True,True,True
2851.TW,True,True,True
2852.TW,True,True,True
2855.TW,True,True,True
2867.TW,True,True,True
2880.TW,True,True,True
2881.TW,True,True,True
2882.TW,True,True,True
2883.TW,True,True,True
2884.TW,True,True,True
2885.TW,True,True,True
2886.TW,True,True,True
2887.TW,True,True,True
2889.TW,True,True,True
2890.TW,True,True,True
2891.TW,True,True,True
2892.TW,True,True,True
2897.TW,True,True,True
2901.TW,True,True,True
2903.TW,True,True,True
2904.TW,True,True,True
2905.TW,True,True,True
2906.TW,True,True,True
2908.TW,True,True,True
2910.TW,True,True,True
2911.TW,True,True,True
2912.TW,True,True,True
2913.TW,True,True,True
2915.TW,True,True,True
2923.TW,True,True,True
2929.TW,True,True,True
2939.TW,True,True,True
2945.TW,True,True,True
3002.TW,True,True,True
3003.TW,True,True,True
3004.TW,True,True,True
3005.TW,True,True,True
3006.TW,True,True,True
3008.TW,True,True,True
3010.TW,True,True,True
3011.TW,True,True,True
3013.TW,True,True,True
3014.TW,True,True,True
3015.TW,True,True,True
3016.TW,True,True,True
3017.TW,True,True,True
3019.TW,True,True,True
3021.TW,True,True,True
3022.TW,True,True,True
3023.TW,True,True,True
3024.TW,True,True,True
3025.TW,True,True,True
3026.TW,True,True,True
3027.TW,True,True,True
3028.TW,True,True,True
3029.TW,True,True,True
3030.TW,True,True,True
3031.TW,True,True,True
3032.TW,True,True,True
3033.TW,True,True,True
3034.TW,True,True,True
3035.TW,True,True,True
3036.TW,True,True,True
3037.TW,True,True,True
3038.TW,True,True,True
3040.TW,True,True,True
3041.TW,True,True,True
3042.TW,True,True,True
3043.TW,True,True,True
3044.TW,True,True,True
3045.TW,True,True,True
3046.TW,True,True,True
3047.TW,True,True,True
3048.TW,True,True,True
3049.TW,True,True,True
3050.TW,True,True,True
3051.TW,True,True,True
3052.TW,True,True,True
3054.TW,True,True,True
3055.TW,True,True,True
3056.TW,True,True,True
3057.TW,True,True,True
3058.TW,True,True,True
3059.TW,True,True,True
3060.TW,True,True,True
3062.TW,True,True,True
3090.TW,True,True,True
3092.TW,True,True,True
3094.TW,True,True,True
3130.TW,True,True,True
3135.TW,True,True,True
3138.TW,True,True,True
3149.TW,True,True,True
3150.TW,True,True,True
3164.TW,True,True,True
3167.TW,True,True,True
3168.TW,True,True,True
3189.TW,True,True,True
3209.TW,True,True,True
3229.TW,True,True,True
3231.TW,True,True,True
3257.TW,True,True,True
3266.TW,True,True,True
3296.TW,True,True,True
3305.TW,True,True,True
3308.TW,True,True,True
3311.TW,True,True,True
3312.TW,True,True,True
3321.TW,True,True,True
3338.TW,True,True,True
3346.TW,True,True,True
3356.TW,True,True,True
3376.TW,True,True,True
3380.TW,True,True,True
3406.TW,True,True,True
3413.TW,True,True,True
3416.TW,True,True,True
3419.TW,True,True,True
3432.TW,True,True,True
3437.TW,True,True,True
3443.TW,True,True,True
3447.TW,True,True,True
3450.TW,True,True,True
3481.TW,True,True,True
3494.TW,True,True,True
3501.TW,True,True,True
3504.TW,True,True,True
3515.TW,True,True,True
3518.TW,True,True,True
3528.TW,True,True,True
3530.TW,True,True,True
3532.TW,True,True,True
3533.TW,True,True,True
3535.TW,True,True,True
3543.TW,True,True,True
3545.TW,True,True,True
3550.TW,True,True,True
3557.TW,True,True,True
3563.TW,True,True,True
3576.TW,True,True,True
3583.TW,True,True,True
3588.TW,True,True,True
3591.TW,True,True,True
3592.TW,True,True,True
3593.TW,True,True,True
3596.TW,True,True,True
3605.TW,True,True,True
3607.TW,True,True,True
3617.TW,True,True,True
3622.TW,True,True,True
3645.TW,True,True,True
3652.TW,True,True,True
3653.TW,True,True,True
3661.TW,True,True,True
3665.TW,True,True,True
3669.TW,True,True,True
3673.TW,True,True,True
3679.TW,True,True,True
3686.TW,True,True,True
3694.TW,True,True,True
3701.TW,True,True,True
3702.TW,True,True,True
3703.TW,True,True,True
3704.TW,True,True,True
3705.TW,True,True,True
3706.TW,True,True,True
3708.TW,True,True,True
3711.TW,True,True,True
3712.TW,True,True,True
3714.TW,True,True,True
3715.TW,True,True,True
3716.TW,True,True,True
4104.TW,True,True,True
4106.TW,True,True,True
4108.TW,True,True,True
4119.TW,True,True,True
4133.TW,True,True,True
4137.TW,True,True,True
4142.TW,True,True,True
4148.TW,True,True,True
4155.TW,True,True,True
4164.TW,True,True,True
4190.TW,True,True,True
4306.TW,True,True,True
4414.TW,True,True,True
4426.TW,True,True,True
4438.TW,True,True,True
4439.TW,True,True,True
4440.TW,True,True,True
4441.TW,True,True,True
4526.TW,True,True,True
4532.TW,True,True,True
4536.TW,True,True,True
4540.TW,True,True,True
4545.TW,True,True,True
4551.TW,True,True,True
4552.TW,True,True,True
4555.TW,True,True,True
4557.TW,True,True,True
4560.TW,True,True,True
4562.TW,True,True,True
4564.TW,True,True,True
4566.TW,True,True,True
4569.TW,True,True,True
4571.TW,True,True,True
4572.TW,True,True,True
4576.TW,True,True,True
4581.TW,True,True,True
4583.TW,True,True,True
4585.TW,True,True,True
4588.TW,True,True,True
4590.TW,True,True,True
4720.TW,True,True,True
4722.TW,True,True,True
4736.TW,True,True,True
4737.TW,True,True,True
4739.TW,True,True,True
4746.TW,True,True,True
4755.TW,True,True,True
4763.TW,True,True,True
4764.TW,True,True,True
4766.TW,True,True,True
4770.TW,True,True,True
4771.TW,True,True,True
4807.TW,True,True,True
4904.TW,True,True,True
4906.TW,True,True,True
4912.TW,True,True,True
4915.TW,True,True,True
4916.TW,True,True,True
4919.TW,True,True,True
4927.TW,True,True,True
4930.TW,True,True,True
4934.TW,True,True,True
4935.TW,True,True,True
4938.TW,True,True,True
4942.TW,True,True,True
4949.TW,True,True,True
4952.TW,True,True,True
4956.TW,True,True,True
4958.TW,True,True,True
4960.TW,True,True,True
4961.TW,True,True,True
4967.TW,True,True,True
4968.TW,True,True,True
4976.TW,True,True,True
4977.TW,True,True,True
4989.TW,True,True,True
4994.TW,True,True,True
4999.TW,True,True,True
5007.TW,True,True,True
5203.TW,True,True,True
5215.TW,True,True,True
5222.TW,True,True,True
5225.TW,True,True,True
5234.TW,True,True,True
5243.TW,True,True,True
5244.TW,True,True,True
5258.TW,True,True,True
5269.TW,True,True,True
5283.TW,True,True,True
5284.TW,True,True,True
5285.TW,True,True,True
5288.TW,True,True,True
5292.TW,True,True,True
5306.TW,True,True,True
5388.TW,True,True,True
5434.TW,True,True,True
5469.TW,True,True,True
5471.TW,True,True,True
5484.TW,True,True,True
5515.TW,True,True,True
5519.TW,True,True,True
5521.TW,True,True,True
5522.TW,True,True,True
5525.TW,True,True,True
5531.TW,True,True,True
5533.TW,True,True,True
5534.TW,True,True,True
5538.TW,True,True,True
5546.TW,True,True,True
5607.TW,True,True,True
5608.TW,True,True,True
5706.TW,True,True,True
5871.TW,True,True,True
5876.TW,True,True,True
5880.TW,True,True,True
5906.TW,True,True,True
5907.TW,True,True,True
6005.TW,True,True,True
6024.TW,True,True,True
6108.TW,True,True,True
6112.TW,True,True,True
6115.TW,True,True,True
6116.TW,True,True,True
6117.TW,True,True,True
6120.TW,True,True,True
6128.TW,True,True,True
6133.TW,True,True,True
6136.TW,True,True,True
6139.TW,True,True,True
6141.TW,True,True,True
6142.TW,True,True,True
6152.TW,True,True,True
6153.TW,True,True,True
6155.TW,True,True,True
6164.TW,True,True,True
6165.TW,True,True,True
6166.TW,True,True,True
6168.TW,True,True,True
6176.TW,True,True,True
6177.TW,True,True,True
6183.TW,True,True,True
6184.TW,True,True,True
6189.TW,True,True,True
6191.TW,True,True,True
6192.TW,True,True,True
6196.TW,True,True,True
6197.TW,True,True,True
6201.TW,True,True,True
6202.TW,True,True,True
6205.TW,True,True,True
6206.TW,True,True,True
6209.TW,True,True,True
6213.TW,True,True,True
6214.TW,True,True,True
6215.TW,True,True,True
6216.TW,True,True,True
6224.TW,True,True,True
6226.TW,True,True,True
6230.TW,True,True,True
6235.TW,True,True,True
6239.TW,True,True,True
6243.TW,True,True,True
6257.TW,True,True,True
6269.TW,True,True,True
6271.TW,True,True,True
6272.TW,True,True,True
6277.TW,True,True,True
6278.TW,True,True,True
6281.TW,True,True,True
6282.TW,True,True,True
6283.TW,True,True,True
6285.TW,True,True,True
6405.TW,True,True,True
6409.TW,True,True,True
6412.TW,True,True,True
6414.TW,True,True,True
6415.TW,True,True,True
6416.TW,True,True,True
6426.TW,True,True,True
6431.TW,True,True,True
6438.TW,True,True,True
6442.TW,True,True,True
6443.TW,True,True,True
6446.TW,True,True,True
6449.TW,True,True,True
6451.TW,True,True,True
6456.TW,True,True,True
6464.TW,True,True,True
6472.TW,True,True,True
6477.TW,True,True,True
6491.TW,True,True,True
6504.TW,True,True,True
6505.TW,True,True,True
6515.TW,True,True,True
6525.TW,True,True,True
6526.TW,True,True,True
6531.TW,True,True,True
6533.TW,True,True,True
6534.TW,True,True,True
6541.TW,True,True,True
6550.TW,True,True,True
6552.TW,True,True,True
6558.TW,True,True,True
6573.TW,True,True,True
6579.TW,True,True,True
6581.TW,True,True,True
6582.TW,True,True,True
6585.TW,True,True,True
6589.TW,True,True,True
6591.TW,True,True,True
6592.TW,True,True,True
6598.TW,True,True,True
6605.TW,True,True,True
6606.TW,True,True,True
6614.TW,True,True,True
6625.TW,True,True,True
6641.TW,True,True,True
6645.TW,True,True,True
6655.TW,True,True,True
6657.TW,True,True,True
6658.TW,True,True,True
6666.TW,True,True,True
6668.TW,True,True,True
6669.TW,True,True,True
6670.TW,True,True,True
6671.TW,True,True,True
6672.TW,True,True,True
6674.TW,True,True,True
6689.TW,True,True,True
6691.TW,True,True,True
6695.TW,True,True,True
6698.TW,True,True,True
6706.TW,True,True,True
6715.TW,True,True,True
6719.TW,True,True,True
6722.TW,True,True,True
6742.TW,True,True,True
6743.TW,True,True,True
6753.TW,True,True,True
6754.TW,True,True,True
6756.TW,True,True,True
6757.TW,True,True,True
6768.TW,True,True,True
6770.TW,True,True,True
6771.TW,True,True,True
6776.TW,True,True,True
6781.TW,True,True,True
6782.TW,True,True,True
6789.TW,True,True,True
6790.TW,True,True,True
6792.TW,True,True,True
6794.TW,True,True,True
6796.TW,True,True,True
6799.TW,True,True,True
6805.TW,True,True,True
6806.TW,True,True,True
6807.TW,True,True,True
6830.TW,True,True,True
6831.TW,True,True,True
6834.TW,True,True,True
6835.TW,True,True,True
6838.TW,True,True,True
6854.TW,True,True,True
6861.TW,True,True,True
6862.TW,True,True,True
6863.TW,True,True,True
6869.TW,True,True,True
6873.TW,True,True,True
6885.TW,True,True,True
6887.TW,True,True,True
6890.TW,True,True,True
6901.TW,True,True,True
6902.TW,True,True,True
6906.TW,True,True,True
6909.TW,True,True,True
6914.TW,True,True,True
6916.TW,True,True,True
6918.TW,True,True,True
6921.TW,True,True,True
6923.TW,True,True,True
6924.TW,True,True,True
6928.TW,True,True,True
6931.TW,True,True,True
6933.TW,True,True,True
6934.TW,True,True,True
6936.TW,True,True,True
6937.TW,True,True,True
6944.TW,True,True,True
6949.TW,True,True,True
6951.TW,True,True,True
6952.TW,True,True,True
6955.TW,True,True,True
6957.TW,True,True,True
6958.TW,True,True,True
6962.TW,True,True,True
6965.TW,True,True,True
6969.TW,True,True,True
6988.TW,True,True,True
6994.TW,True,True,True
7610.TW,True,True,True
7631.TW,True,True,True
7705.TW,True,True,True
7711.TW,True,True,True
7721.TW,True,True,True
7722.TW,True,True,True
7730.TW,True,True,True
7732.TW,True,True,True
7736.TW,True,True,True
7740.TW,True,True,True
7749.TW,True,True,True
7750.TW,True,True,True
7765.TW,True,True,True
7769.TW,True,True,True
7780.TW,True,True,True
7786.TW,True,True,True
7788.TW,True,True,True
7791.TW,True,True,True
7795.TW,True,True,True
7823.TW,True,True,True
8011.TW,True,True,True
8016.TW,True,True,True
8021.TW,True,True,True
8028.TW,True,True,True
8033.TW,True,True,True
8039.TW,True,True,True
8045.TW,True,True,True
8046.TW,True,True,True
8070.TW,True,True,True
8072.TW,True,True,True
8081.TW,True,True,True
8103.TW,True,True,True
8104.TW,True,True,True
8105.TW,True,True,True
8110.TW,True,True,True
8112.TW,True,True,True
8114.TW,True,True,True
8131.TW,True,True,True
8150.TW,True,True,True
8162.TW,True,True,True
8163.TW,True,True,True
8201.TW,True,True,True
8210.TW,True,True,True
8213.TW,True,True,True
8215.TW,True,True,True
8222.TW,True,True,True
8249.TW,True,True,True
8261.TW,True,True,True
8271.TW,True,True,True
8341.TW,True,True,True
8367.TW,True,True,True
8374.TW,True,True,True
8404.TW,True,True,True
8411.TW,True,True,True
8422.TW,True,True,True
8429.TW,True,True,True
8438.TW,True,True,True
8442.TW,True,True,True
8443.TW,True,True,True
8454.TW,True,True,True
8462.TW,True,True,True
8463.TW,True,True,True
8464.TW,True,True,True
8466.TW,True,True,True
8467.TW,True,True,True
8473.TW,True,True,True
8476.TW,True,True,True
8478.TW,True,True,True
8481.TW,True,True,True
8482.TW,True,True,True
8487.TW,True,True,True
8488.TW,True,True,True
8499.TW,True,True,True
8926.TW,True,True,True
8940.TW,True,True,True
8996.TW,True,True,True
9105.TW,True,True,True
9802.TW,True,True,True
9902.TW,True,True,True
9904.TW,True,True,True
9905.TW,True,True,True
9906.TW,True,True,True
9907.TW,True,True,True
9908.TW,True,True,True
9910.TW,True,True,True
9911.TW,True,True,True
9912.TW,True,True,True
9914.TW,True,True,True
9917.TW,True,True,True
9918.TW,True,True,True
9919.TW,True,True,True
9921.TW,True,True,True
9924.TW,True,True,True
9925.TW,True,True,True
9926.TW,True,True,True
9927.TW,True,True,True
9928.TW,True,True,True
9929.TW,True,True,True
9930.TW,True,True,True
9931.TW,True,True,True
9933.TW,True,True,True
9934.TW,True,True,True
9935.TW,True,True,True
9937.TW,True,True,True
9938.TW,True,True,True
9939.TW,True,True,True
9940.TW,True,True,True
9941.TW,True,True,True
9942.TW,True,True,True
9943.TW,True,True,True
9944.TW,True,True,True
9945.TW,True,True,True
9946.TW,True,True,True
9955.TW,True,True,True
9958.TW,True,True,True
